90000,/index,jade_template,leaf,fetch_jade_template,f,\N,yomo,2018-04-11 08:34:55.461109,yomo,2018-04-11 08:35:15.561547
90110,/system/new-page/template-001/yomo-xls-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,xls definition,yomo,2018-04-11 08:34:55.461109,yomo,2018-04-11 08:35:15.561547
90120,/system/new-page/template-001/yomo-inp-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,button definition,yomo,2018-04-11 08:34:55.461109,yomo,2018-04-11 08:35:15.561547
90130,/system/new-page/template-001/yomo-ajax-master.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,page load ajax definition,yomo,2018-04-11 08:34:55.461109,yomo,2018-04-11 08:35:15.561547
90100,/system/new-page/template-001/main.html,template-03,template,\N,f,template name,yomo,2018-04-11 08:34:55.461109,yomo,2018-04-11 08:35:15.561547
90102,template-03,jade_template,leaf,fetch_jade_template,f,jade template,yomo,2018-04-11 08:34:55.461109,yomo,2018-04-11 08:35:15.561547
90210,/system/maintenance/excel/yomo-xls-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,xls definition,yomo,2018-04-11 12:06:47.613086,yomo,2018-04-11 12:06:47.613086
90220,/system/maintenance/excel/yomo-inp-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,button definition,yomo,2018-04-11 12:06:47.613086,yomo,2018-04-11 12:06:47.613086
90230,/system/maintenance/excel/yomo-ajax-master.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,page load ajax definition,yomo,2018-04-11 12:06:47.613086,yomo,2018-04-11 12:06:47.613086
90200,/system/maintenance/excel/main.html,template-03,template,\N,f,template name,yomo,2018-04-11 12:06:47.613086,yomo,2018-04-11 12:06:47.613086
90310,/system/maintenance/ajax-request/yomo-xls-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,xls definition,yomo,2018-04-18 10:14:23.402447,yomo,2018-04-18 10:14:23.402447
90320,/system/maintenance/ajax-request/yomo-inp-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,button definition,yomo,2018-04-18 10:14:23.402447,yomo,2018-04-18 10:14:23.402447
90330,/system/maintenance/ajax-request/yomo-ajax-master.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,page load ajax definition,yomo,2018-04-18 10:14:23.402447,yomo,2018-04-18 10:14:23.402447
90300,/system/maintenance/ajax-request/main.html,template-03,template,\N,f,template name,yomo,2018-04-18 10:14:23.402447,yomo,2018-04-18 10:14:23.402447
90410,/system/maintenance/include-file/yomo-xls-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,xls definition,yomo,2018-04-18 10:16:13.662606,yomo,2018-04-18 10:16:13.662606
90420,/system/maintenance/include-file/yomo-inp-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,button definition,yomo,2018-04-18 10:16:13.662606,yomo,2018-04-18 10:16:13.662606
90430,/system/maintenance/include-file/yomo-ajax-master.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,page load ajax definition,yomo,2018-04-18 10:16:13.662606,yomo,2018-04-18 10:16:13.662606
90400,/system/maintenance/include-file/main.html,template-03,template,\N,f,template name,yomo,2018-04-18 10:16:13.662606,yomo,2018-04-18 10:16:13.662606
90510,/system/User/permission/yomo-xls-def.ajax,ajax-res,leaf,fetch_pg_data_from_file,f,xls definition,yomo,2018-04-18 10:20:01.106686,yomo,2018-04-18 10:20:01.106686
