2014-06-09,62.40,63.34,61.79,62.88,37617413
2014-06-06,63.37,63.48,62.15,62.50,42442096
2014-06-05,63.66,64.36,62.82,63.19,47352368
2014-06-04,62.45,63.59,62.07,63.34,36513991
2014-06-03,62.62,63.42,62.32,62.87,32216707
2014-06-02,63.23,63.59,62.05,63.08,35995537
2014-05-30,63.95,64.17,62.56,63.30,45283577
2014-05-29,63.84,64.30,63.51,63.83,42699670
2014-05-28,63.39,64.14,62.62,63.51,47795088
2014-05-27,61.62,63.51,61.57,63.48,55681663
2014-05-23,60.41,61.45,60.15,61.35,38293993
2014-05-22,60.94,61.48,60.40,60.52,54200116
2014-05-21,58.56,60.50,58.25,60.49,58991505
2014-05-20,59.50,60.19,58.18,58.56,53931469
2014-05-19,57.89,59.56,57.57,59.21,43033925
2014-05-16,58.31,58.45,57.31,58.02,47933075
2014-05-15,59.26,59.38,57.52,57.92,56813940
2014-05-14,59.53,60.45,58.95,59.23,47428583
2014-05-13,59.66,60.89,59.51,59.83,48525476
2014-05-12,57.98,59.90,57.98,59.83,48575487
2014-05-09,56.85,57.65,56.38,57.24,52583858
2014-05-08,57.23,58.82,56.50,56.76,61251053
2014-05-07,58.77,59.30,56.26,57.39,78587247
2014-05-06,60.98,61.15,58.49,58.53,55900809
2014-05-05,59.67,61.35,59.18,61.22,46057411
2014-05-02,61.30,61.89,60.18,60.46,54189197
2014-05-01,60.43,62.28,60.21,61.15,82428606
2014-04-30,57.58,59.85,57.16,59.78,76093004
2014-04-29,56.09,58.28,55.84,58.15,75557202
2014-04-28,58.05,58.31,54.66,56.14,107757756
2014-04-25,59.97,60.01,57.57,57.71,92501529
2014-04-24,63.60,63.65,59.77,60.87,138769345
2014-04-23,63.45,63.48,61.26,61.36,96564750
2014-04-22,62.65,63.44,62.22,63.03,60631312
2014-04-21,59.46,61.24,59.15,61.24,60363619
2014-04-17,59.30,60.58,58.72,58.94,88040346
2014-04-16,59.79,60.19,57.74,59.72,78773521
2014-04-15,59.29,59.68,55.88,59.09,108622706
2014-04-14,60.09,60.45,57.78,58.89,72324603
2014-04-11,57.60,60.31,57.31,58.53,91451960
2014-04-10,63.08,63.18,58.68,59.16,114987616
2014-04-09,59.63,62.46,59.19,62.41,100215307
2014-04-08,57.68,58.71,57.17,58.19,78835935
2014-04-07,55.90,58.00,55.44,56.95,108487569
2014-04-04,59.94,60.20,56.32,56.75,125465774
2014-04-03,62.55,63.17,59.13,59.49,83859330
2014-04-02,63.21,63.91,62.21,62.72,66276613
2014-04-01,60.46,62.66,60.24,62.62,59291210
2014-03-31,60.78,61.52,59.87,60.24,53011205
2014-03-28,61.34,61.95,59.34,60.01,67051528
2014-03-27,60.51,61.90,57.98,60.97,112649694
2014-03-26,64.74,64.95,60.37,60.38,97689774
2014-03-25,64.89,66.19,63.78,64.89,68785500
2014-03-24,67.19,67.36,63.36,64.10,85695872
2014-03-21,67.53,67.92,66.18,67.24,60041228
2014-03-20,68.01,68.23,66.82,66.97,44438500
2014-03-19,69.17,69.29,67.46,68.24,43980558
2014-03-18,68.76,69.60,68.30,69.19,40827226
2014-03-17,68.18,68.95,66.62,68.74,52196699
2014-03-14,68.49,69.43,67.46,67.72,48226824
2014-03-13,71.29,71.35,68.15,68.83,57091157
2014-03-12,69.86,71.35,69.00,70.88,46400431
2014-03-11,72.50,72.59,69.96,70.10,59615238
2014-03-10,70.77,72.15,70.51,72.03,59949746
2014-03-07,71.08,71.18,69.47,69.80,38985763
2014-03-06,71.88,71.89,70.25,70.84,46126260
2014-03-05,69.69,71.97,69.62,71.57,74649486
2014-03-04,68.66,68.90,67.62,68.80,42164222
2014-03-03,66.96,68.05,66.51,67.41,56900444
2014-02-28,69.47,69.88,67.38,68.46,66900863
2014-02-27,69.34,70.01,68.87,68.94,41695855
2014-02-26,70.19,71.22,68.85,69.26,55400399
2014-02-25,70.95,71.00,69.45,69.85,52189031
2014-02-24,68.74,71.44,68.54,70.78,76951946
2014-02-21,69.69,69.96,68.45,68.59,70991892
2014-02-20,67.73,70.11,65.73,69.63,131043748
2014-02-19,67.05,69.08,67.00,68.06,64258631
2014-02-18,66.94,67.54,66.07,67.30,43862297
2014-02-14,67.50,67.58,66.72,67.09,36786427
2014-02-13,64.18,67.33,64.05,67.33,62013396
2014-02-12,64.92,65.06,64.05,64.45,47409857
2014-02-11,63.75,65.00,63.35,64.85,45746832
2014-02-10,64.30,64.49,63.47,63.55,43736562
2014-02-07,62.27,64.57,62.22,64.32,60835746
2014-02-06,61.46,62.78,61.46,62.16,42153754
2014-02-05,62.74,63.16,61.27,62.19,53032420
2014-02-04,62.05,63.14,61.82,62.75,46064897
2014-02-03,63.03,63.77,60.70,61.48,75105994
2014-01-31,60.47,63.37,60.17,62.57,87930298
2014-01-30,62.12,62.50,60.46,61.08,150438699
2014-01-29,54.61,54.95,53.19,53.53,98089932
2014-01-28,54.02,55.28,54.00,55.14,48364998
2014-01-27,54.73,54.94,51.85,53.55,74142331
2014-01-24,56.15,56.42,54.40,54.45,55545338
2014-01-23,56.37,56.68,55.69,56.63,47996403
2014-01-22,58.85,59.31,57.10,57.51,61495880
2014-01-21,56.60,58.58,56.50,58.51,48734147
2014-01-17,57.30,57.82,56.07,56.30,40883205
2014-01-16,57.26,58.02,56.83,57.19,34599775
2014-01-15,57.98,58.57,57.27,57.60,33730619
2014-01-14,56.46,57.78,56.10,57.74,37590987
2014-01-13,57.91,58.25,55.38,55.91,63106519
2014-01-10,57.13,58.30,57.06,57.94,42529258
2014-01-09,58.65,58.96,56.65,57.22,92349222
2014-01-08,57.60,58.41,57.23,58.23,56800776
2014-01-07,57.70,58.55,57.22,57.92,77329009
2014-01-06,54.42,57.26,54.05,57.20,68974359
2014-01-03,55.02,55.65,54.53,54.56,38287706
2014-01-02,54.83,55.22,54.19,54.71,43257622
2013-12-31,54.12,54.86,53.91,54.65,43152127
2013-12-30,54.93,55.18,53.43,53.71,68307317
2013-12-27,57.48,57.68,55.25,55.44,60465751
2013-12-26,58.32,58.38,57.37,57.73,55101367
2013-12-24,58.27,58.58,56.91,57.96,46617754
2013-12-23,55.50,58.32,55.45,57.77,98296983
2013-12-20,54.91,55.15,54.23,55.12,239823912
2013-12-19,54.34,55.19,53.95,55.05,89825393
2013-12-18,55.57,55.89,53.75,55.57,76003479
2013-12-17,54.75,55.18,54.24,54.86,78751463
